"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"753","1","90","30","35","87","30"
"755","1","90","26","56","158","26"
"754","1","90","30","35","95","30"
"757","1","90","28","33","88","28"
"756","1","90","28","48","133","28"
"759","1","90","28","44","103","28"
"760","1","90","28","51","145","28"
"761","1","90","30","37","85","30"
"762","1","90","28","33","77","28"
"764","1","90","30","26","60","30"
"763","1","90","28","39","104","28"
"765","1","90","28","37","79","28"
"766","1","90","30","40","104","30"
"758","1","90","28","44","101","28"
"767","1","90","30","42","112","30"
"769","1","90","28","45","127","28"
"768","1","90","30","48","131","30"
"771","1","90","32","34","93","32"
"772","1","90","30","35","94","30"
"774","1","90","26","39","110","26"
"770","1","90","28","62","164","28"
"773","1","90","28","30","68","28"
"775","1","90","30","34","77","30"
"777","1","90","32","42","99","32"
"778","1","90","28","34","83","28"
"779","1","90","30","46","125","30"
"776","1","90","36","54","144","36"
"780","1","90","30","47","116","30"
"781","1","90","28","45","111","28"
"782","1","90","40","41","119","40"
"785","1","90","34","45","118","34"
"786","1","90","30","42","112","30"
"783","1","90","32","46","112","32"
"784","1","90","30","40","93","30"
"787","1","90","24","36","77","24"
"789","1","90","34","39","104","34"
"790","1","90","30","45","130","30"
"791","1","90","30","31","90","30"
"792","1","90","30","41","90","30"
"793","1","90","26","35","80","26"
"795","1","90","30","39","99","30"
"794","1","90","28","40","123","28"
"788","1","90","32","49","114","32"
"798","1","90","28","39","105","28"
"796","1","90","36","39","92","36"
"797","1","90","30","33","73","30"
"799","1","90","34","36","102","34"
"800","1","90","26","44","117","26"
"801","1","90","44","30","91","44"
"802","1","90","30","43","118","30"
"803","1","90","28","42","94","28"
"804","1","90","28","41","104","28"
"807","1","90","28","50","138","28"
"806","1","90","30","31","84","30"
"805","1","90","28","42","94","28"
"809","1","90","24","37","106","24"
"808","1","90","30","42","117","30"
"810","1","90","28","44","104","28"
"811","1","90","34","46","97","34"
"812","1","90","30","42","89","30"
"813","1","90","28","32","85","28"
"815","1","90","28","41","118","28"
"817","1","90","28","44","124","28"
"814","1","90","44","32","67","44"
"816","1","90","28","35","91","28"
"818","1","90","28","33","88","28"
"819","1","90","30","32","74","30"
"820","1","90","26","33","77","26"
